Rank,Username,Categories,Subscribers,ISO-2,ISO-3,Average Visits,Average Likes,Average Comments
120,KarolG,Hip_hop_music,33000000.00,CO,COL,"74,000","2,700",165
121,WowKidz1,Entertainment,33000000.00,IN,IND,"17,200",88,0
122,PANDABOI,Food,33000000.00,IT,ITA,"2,500,000","66,600",183
123,erosentertainment,Entertainment,33000000.00,IN,IND,"7,100",93,5
124,gmanetwork,Television_program,32900000.00,PH,PHL,"2,600",83,1
125,LucasandMarcus,Technology,32800000.00,US,USA,"706,100","23,300",504
126,AboFlah,Video_game_culture,32700000.00,KW,KWT,"3,300,000","382,000","11,400"
127,MRINDIANHACKER,Lifestyle_(sociology),32600000.00,IN,IND,"6,500,000","617,400","26,000"
128,FrostDiamond,Action_game,32600000.00,ID,IDN,"316,200","13,200",386
129,MrBean,Film,32400000.00,GB,GBR,"204,400","1,800",73
130,WorldwideRecordsBhojpuri,Music_of_Asia,32200000.00,IN,IND,"44,200","1,600",29
131,rezendeevil,Lifestyle_(sociology),32200000.00,BR,BRA,"413,400","15,600",153
132,SMTOWN,Pop_music,32200000.00,KR,KOR,"132,300","12,700",505
133,PeppaPigOfficial,Television_program,32200000.00,GB,GBR,"110,200",508,0
134,zeenews,Society,32100000.00,IN,IND,"14,700",231,6
135,fedevigevani,Technology,32000000.00,MX,MEX,"7,700,000","412,200","17,000"
136,dream,Action_game,31900000.00,US,USA,"3,300,000","309,200","19,000"
137,GENIALBrightSideSpanish,Lifestyle_(sociology),31800000.00,MX,MEX,"15,500",524,21
138,luisfonsi,Music,31600000.00,US,USA,"20,800","1,400",67
139,zhong,Entertainment,31400000.00,US,USA,"2,900,000","118,300",887
140,MrBeast2,Entertainment,31300000.00,US,USA,"83,100,000","5,000,000","11,600"
141,fallontonight,Television_program,31200000.00,US,USA,"263,100","3,900",116
142,dianaandromaesp331,Hobby,31100000.00,US,USA,"403,500",714,0
143,ShortsBreak_Official,Entertainment,31000000.00,IN,IND,"8,600,000","503,400",704
